accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
ROOFTOP,"181 Cross Rd, Westbourne Park SA 5041, Australia",ChIJKT7I9rbPsGoRVHMHkIy-Oyk,181 Cross Rd,-34.9666565,138.5921483,1,5041,OK,street_address
ROOFTOP,"177 Cross Rd, Westbourne Park SA 5041, Australia",ChIJ-VFZ87bPsGoRyfVgC5qbPpE,177 Cross Rd,-34.9666071,138.5923007,1,5041,OK,street_address
ROOFTOP,"175 Cross Rd, Westbourne Park SA 5041, Australia",ChIJIztlirbPsGoR38KRk76kPFI,175 Cross Rd,-34.9667578,138.5927151,1,5041,OK,street_address
GEOMETRIC_CENTER,"Zone A Arndale Interchange - South side, Kilkenny SA 5009, Australia",ChIJn0C1hCPGsGoRIWvCdhF1RIg,Zone A Arndale Interchange,-34.87516,138.551628,1,5009,OK,"bus_station,establishment,point_of_interest,transit_station"
ROOFTOP,"178 Cross Rd, Malvern SA 5061, Australia",ChIJycNiylvOsGoRdhfq9GKnpq0,178 Cross Rd,-34.9649596,138.611477,1,5061,OK,street_address
ROOFTOP,"9 Marion Rd, Torrensville SA 5031, Australia",ChIJjzH6jIXFsGoRCmDOwcXUQt4,9A  Marion Rd,-34.9256552,138.5523584,1,5031,OK,street_address
ROOFTOP,"9 Holbrooks Rd, Flinders Park SA 5025, Australia",ChIJRxAIiPrFsGoRHq6xlXePNuw,9A  Holbrooks Rd,-34.9058902,138.5511989,1,5025,OK,street_address
ROOFTOP,"9 Marion Rd, Torrensville SA 5031, Australia",ChIJjzH6jIXFsGoRCmDOwcXUQt4,9  Marion Rd,-34.9256552,138.5523584,1,5031,OK,street_address
ROOFTOP,"206 Holbrooks Rd, Underdale SA 5032, Australia",ChIJe7EbHJDFsGoRApzRPQ4YLfE,206 Holbrooks Rd,-34.9228135,138.5484784,1,5032,OK,street_address
ROOFTOP,"8 Marion Rd, Underdale SA 5032, Australia",ChIJV16rmoXFsGoRv3XQQzSJcDE,8A  Marion Rd,-34.9256164,138.5518486,1,5032,OK,street_address
ROOFTOP,"8 Marion Rd, Underdale SA 5032, Australia",ChIJV16rmoXFsGoRv3XQQzSJcDE,8D  Marion Rd,-34.9256164,138.5518486,1,5032,OK,street_address
ROOFTOP,"23 Findon Rd, Woodville South SA 5011, Australia",ChIJEQPkAXHGsGoRGg3UEHlkNSU,23  Findon Rd,-34.8824023,138.5312475,1,5011,OK,premise
ROOFTOP,"8 Marion Rd, Underdale SA 5032, Australia",ChIJV16rmoXFsGoRv3XQQzSJcDE,8K  Marion Rd,-34.9256164,138.5518486,1,5032,OK,street_address
RANGE_INTERPOLATED,"20 Cross Rd, Urrbrae SA 5064, Australia",EicyMCBDcm9zcyBSZCwgVXJyYnJhZSBTQSA1MDY0LCBBdXN0cmFsaWEiGhIYChQKEglDeZfXKcywahGMuuI3STQfMBAU,20  Cross Rd,-34.9639244,138.6389671,1,5064,OK,street_address
ROOFTOP,"22 Crittenden Rd, Findon SA 5023, Australia",ChIJG7M28-XFsGoRAEOHivs-MG0,22A  Crittenden Rd,-34.9035046,138.5449643,1,5023,OK,street_address
ROOFTOP,"180 Cross Rd, Malvern SA 5061, Australia",ChIJwwjLTlrOsGoR16m0vKmbS2M,180 Cross Rd,-34.965057,138.6109484,1,5061,OK,street_address
ROOFTOP,"8 Marion Rd, Underdale SA 5032, Australia",ChIJV16rmoXFsGoRv3XQQzSJcDE,8C  Marion Rd,-34.9256164,138.5518486,1,5032,OK,street_address
ROOFTOP,"173 Cross Rd, Westbourne Park SA 5041, Australia",ChIJoeTUiLbPsGoRCRfOcUbw2fE,173 Cross Rd,-34.9666669,138.5929147,1,5041,OK,street_address
ROOFTOP,"13 Holbrooks Rd, Flinders Park SA 5025, Australia",ChIJqehpgfrFsGoRnSDKvQ1Na_M,13  Holbrooks Rd,-34.9061626,138.5509804,1,5025,OK,street_address
ROOFTOP,"218 Findon Rd, Findon SA 5023, Australia",ChIJ28FAGdvFsGoRZvlfwf8BzIk,218 Findon Rd,-34.896977,138.5316035,1,5023,OK,street_address
ROOFTOP,"11 Marion Rd, Torrensville SA 5031, Australia",ChIJ1-x6jYXFsGoRvAhxYUxsuPw,11A  Marion Rd,-34.9257988,138.552369,1,5031,OK,street_address
RANGE_INTERPOLATED,"220 Woodville Rd, Woodville North SA 5012, Australia",EjQyMjAgV29vZHZpbGxlIFJkLCBXb29kdmlsbGUgTm9ydGggU0EgNTAxMiwgQXVzdHJhbGlhIhsSGQoUChIJgbnf4zvGsGoRoJQGSVQ2AxMQ3AE,220 Woodville Rd,-34.8704738,138.5442499,1,5012,OK,street_address
ROOFTOP,"25 Torrens Rd, Ovingham SA 5082, Australia",ChIJ4TOCecTIsGoRSBAm5K20jX8,25 Torrens Rd,-34.8981612,138.5858044,1,5082,OK,premise
